Frage;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B1;B2;B3;B4;B5;B6;C7;C8;C9;C10;C11;C12;C13;C14;D0;E15;E16;E17;E18;E19;E20;E21;E22;F23;F24;F25;F26;F27;G0;H28;H29;H30;H31;H32;H33;I_sex;I_age;I_living_place;I_country
Fragebogen 72;4;4;4;1;3;4;4;3;2;3;1;4;4;4;4;4;4;4;1;4;4;4;4;4;4;2;4;4;4;4;4;4;3;3;4;4;4;3;4;4;1;3;4;3;4;4;4;1;19;Vienna;A
Fragebogen 73;4;4;4;3;1;4;4;3;2;1;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;2;3;4;3;4;4;4;4;4;4;4;3;3;2;4;3;4;3;3;2;3;3;1;23;Krems;A
Fragebogen 74;3;3;3;4;3;4;4;2;3;1;1;4;3;3;4;3;3;3;3;2;3;3;2;2;3;4;2;3;2;3;2;3;3;3;3;3;4;2;2;3;3;2;3;3;1;3;2;1;20;Vienna;A
Fragebogen 75;3;2;2;3;4;3;3;1;3;1;1;4;4;3;3;2;3;2;3;2;3;2;2;3;3;3;2;3;2;2;3;3;3;2;2;2;3;3;3;4;2;2;2;2;3;3;3;1;23;Vienna;A
Fragebogen 76;1;1;1;4;4;4;4;2;3;2;2;4;1;1;2;2;1;1;4;2;2;2;1;2;2;4;1;1;1;1;1;1;1;1;1;1;1;1;2;1;3;1;1;1;2;1;1;1;19;Vienna;A
Fragebogen 77;4;4;4;4;4;4;4;1;1;3;3;4;3;2;3;2;2;3;2;3;4;3;2;3;2;3;3;3;2;3;2;3;3;3;3;2;3;2;2;3;1;2;3;3;4;3;2;2;18;-;DE
Fragebogen 78;4;4;4;1;1;1;2;3;2;3;3;4;3;3;3;3;3;3;2;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;2;3;1;3;3;3;3;3;3;2;26;Vienna;A
Fragebogen 79;4;4;4;1;3;4;4;4;4;4;3;4;3;3;3;3;3;2;2;2;4;3;3;3;3;3;2;3;2;3;3;3;3;2;3;4;3;2;4;1;1;4;3;2;4;3;3;1;25;-;A
Fragebogen 80;4;4;4;4;4;4;4;4;4;1;3;4;2;2;2;2;2;2;3;2;2;2;2;2;2;3;1;1;2;2;2;2;2;2;2;2;2;1;4;1;3;2;2;2;2;2;2;1;28;-;A
Fragebogen 81;4;4;4;1;4;3;4;4;2;1;1;4;3;2;4;3;3;3;1;3;4;4;3;3;1;3;2;4;2;3;2;4;4;3;3;4;1;4;4;4;2;3;2;1;4;4;4;1;22;Vienna;A
Fragebogen 82;3;4;4;1;3;3;4;3;4;3;1;4;3;3;4;3;3;2;1;3;4;3;3;3;3;3;2;3;3;4;3;3;3;2;3;3;2;3;3;1;1;4;3;2;4;4;3;1;19;NÖ;A
Fragebogen 83;3;4;4;3;2;4;4;4;2;4;2;4;4;4;4;4;4;3;1;2;4;3;4;3;4;4;4;4;3;4;4;4;4;4;4;4;3;4;3;3;1;4;4;3;4;4;4;2;23;Vienna;A
Fragebogen 84;4;3;4;1;1;3;3;4;1;2;1;4;3;4;3;3;4;2;1;2;4;3;3;4;3;2;2;3;3;3;3;4;3;2;1;3;3;3;3;2;3;3;2;1;3;3;3;2;20;Eisenstadt;A
